problem_ordinal,example_idx,steps,our,weak,strong,our_power,weak_power,strong_power,speedup_vs_weak,speedup_vs_strong,power_vs_weak,power_vs_strong
57,57,4,4259.712934494019,6875.846656846656,4259.712934494019,2705.8200687274075,4258.001430438593,3395.675712823868,1.614157283033766,1.0,1.5736454465877336,1.2549525195963644
58,58,3,4527.271777709046,6613.969476773486,4502.363024364318,2651.3730358712223,4125.345983111082,3170.4128794670105,1.4609172591181132,0.9944980653762889,1.555928165255525,1.195762662052281
59,59,4,1031.3498783414063,1502.6804253571045,1331.0705920628661,499.59646340684765,975.1977993079608,916.7786419391632,1.457003541585404,1.2906101217595176,1.9519709820559838,1.8350382940813217
60,60,7,6354.068696554523,8518.957720525148,6390.151115805012,3691.356963875279,5387.45849762893,4648.065955405027,1.3407090995324824,1.0056786322234845,1.4594791428605272,1.2591754200128538
61,61,7,2387.1371857909544,3907.0025594806884,2805.3325145018916,1338.1070159871733,2508.2790260408024,2146.30315887928,1.6366895806141706,1.1751869692283194,1.8744980753204914,1.6039846837630316
62,62,7,10171.087533301972,14550.472177929369,9991.853519797522,5964.139659164727,9034.529381619568,6997.735245108604,1.4305719157650056,0.982378087601979,1.5148084883855397,1.1733017073729342
63,63,24,9627.289845543908,13795.177370606127,9227.231608423424,5391.555217718162,8874.549692741708,6996.321246896776,1.432924280034154,0.9584453939230203,1.6460092374789097,1.2976443650071325
64,64,2,1822.9334515903806,3702.118808213745,2229.6809903141357,1261.7528700295532,2330.490371641855,1992.840235710144,2.030857903772575,1.223128023883097,1.847026011985429,1.5794219954209157
65,65,18,4656.795438834228,7492.774805559839,5098.910195603687,2738.275778797917,4817.837147135246,3922.2909033666424,1.6089980554171741,1.0949396988930518,1.7594419029810944,1.4323944044410672
66,66,37,15475.796545387013,24558.42864720462,14892.443964529817,9296.5716966051,15767.290948540056,11910.80159512653,1.5868927053402582,0.9623054891458185,1.6960328455593923,1.2812036505323878
67,67,8,4853.55518633081,7126.639227075855,5011.939497158448,2740.5966979803916,4553.379433852088,3890.467172252713,1.468333819948476,1.0326326382923798,1.6614554915021162,1.4195693861558278
68,68,25,4918.934320148729,8491.856338056761,5454.874251868957,3004.8532917785133,5455.924539545778,4353.4863396418,1.7263609931266577,1.1089544801452083,1.8157041325357102,1.4488182672855412
69,69,8,5413.0221103110725,9769.00133124319,5631.005004433387,3559.926299546635,6156.458002526369,4855.2370176265395,1.804722229498115,1.0402700912133882,1.7293779377709049,1.3638588580457032
70,70,7,931.7587523993163,1567.1053837375487,1295.2689573692383,468.5055339733628,1016.9782820296692,906.7398591041565,1.6818788980540178,1.3901333945443157,2.170685740688583,1.9353877240555921
71,71,9,1286.5915648950684,1918.0383357248536,1479.396565340625,678.0701347380335,1244.71288090943,1064.9752427630735,1.4907903860548664,1.149857192994485,1.835669818123333,1.5705974768738598
72,72,10,1184.6516247082518,1830.9470067386471,1364.4364559613036,633.9836691991981,1188.1801753573818,990.2446772492401,1.5455573339458009,1.1517617732532364,1.874149497980294,1.561940354867571
73,73,12,1032.7549697322265,1711.2290081947751,1223.9520266682619,563.0927415007715,1110.4623141632094,901.9314552836732,1.656955481548991,1.1851330301374479,1.9720771239273522,1.601745838313985
74,74,5,2120.9634249816404,3457.463147455664,2189.1442956942624,1291.3068186075996,2184.643310280393,1789.5708977989018,1.6301380338444982,1.0321461793775215,1.6918080806202722,1.385860333122514
75,75,6,1321.4237434972167,1963.9070249296874,1697.1771094252197,645.1838318813751,1274.5129718513672,1175.4741666316986,1.4862053407123632,1.2843549374506864,1.9754260861355588,1.821921301412624
76,76,17,2592.8712574748047,4133.390878354347,2969.0915381236086,1424.5489489921995,2682.3931293383716,2167.8254498869587,1.5941365644123235,1.145097940965725,1.8829771565491218,1.521762696480589
77,77,13,1965.8586914875486,3255.9602436495607,2364.47410424209,1060.6551307718698,2112.982415210165,1730.3516520792982,1.6562534518622003,1.2027691077088112,1.9921483938634095,1.6313989362593952
78,78,3,3208.8308334350586,4390.772711873242,3208.8308334350586,1912.2214745922545,2693.4110654682804,2283.230176925659,1.368340351919678,1.0,1.4085246407153753,1.194019734253071
79,79,5,11886.408370797943,16780.109206852172,11155.97516021805,6816.586326854093,10430.21160655022,7356.05517500639,1.4117055954494109,0.9385488712995599,1.5301224258629527,1.0791406170603381
80,80,22,13207.45932229265,18987.248255312792,11608.480560372765,7373.038241317913,12161.296337239612,9265.652963995934,1.4376155013602452,0.8789336599189069,1.6494280836750155,1.256694006016673
81,81,8,1176.9266406008057,1891.1457599584473,1487.2611827547364,611.5668523433276,1227.2700384018322,1064.4087537256714,1.6068510089915562,1.2636821458944194,2.0067635021409806,1.7404618148403552
